,id,src,result,reference_str,sentence_length,BLEUscore
0,0,tom is not here .,tom n est pas ici . <end>,tom n est pas ici .,5,1.0
1,1,it s an old picture .,c est une vieille passagere . <end>,c est une vieille image .,6,0.537284965911771
2,2,this is your fate .,c est votre destinee . <end>,c est votre sort .,5,0.28574404296988
3,3,let s have sushi .,prenons les amour ! <end>,prenons des sushi .,5,0.08034284189446518
4,4,where did you go ?,ou vous etes vous rendue ? <end>,ou es tu alle ?,5,0.048549177170732344
5,5,how s your morning been ?,comment ta matinee est elle propre ? <end>,comment votre matinee s est elle passee ?,6,0.07614310991217832
6,6,he arrived at midnight .,il est arrive au japon . <end>,il est arrive a minuit .,5,0.21711852081087685
7,7,she kicked him .,elle lui a donne un coup de pied . <end>,elle lui donna un coup de pied .,4,0.5133450480401704
8,8,i want to go to boston .,je veux aller a boston . <end>,je veux aller a boston .,7,1.0
9,9,i spilled the milk .,j ai renverse le lait . <end>,j ai renverse le lait .,5,1.0
10,10,i am looking at that .,je touche a la main . <end>,je regarde ca .,6,0.048549177170732344
11,11,she suddenly kissed me .,elle m a soudainement embrasse . <end>,elle m a soudainement embrassee .,5,0.537284965911771
12,12,he kept his word .,il a tenu parole . <end>,il tint parole .,5,0.12574334296829354
13,13,i told him what to do .,je lui ai dit que ca peut faire . <end>,je lui ai dit quoi faire .,7,0.3549481056010053
14,14,come and get it .,viens le chercher . <end>,viens la chercher .,5,0.1880301546543197
15,15,how absurd !,comme c est excitant ! <end>,quelle absurdite !,3,0.05372849659117709
16,16,i want a closer look .,je veux un morceau de plus en plus rapide . <end>,je veux regarder de plus pres .,6,0.06674094719041482
17,17,watch out for that man .,occupe toi de cet homme la . <end>,guette cet homme la .,6,0.41113361690051975
18,18,everyone changes .,tout le monde change . <end>,tout le monde change .,3,1.0
19,19,let s eat out tonight .,allons manger ceci . <end>,"ce soir , mangeons dehors .",6,0.04873039689743777
20,20,keep driving .,continue a rouler ! <end>,roulez !,3,0.08034284189446518
21,21,i should go .,je devrais y aller . <end>,je devrais partir .,4,0.12574334296829354
22,22,they re downstairs .,ils sont en dessous . <end>,ils sont en bas .,4,0.28574404296988
23,23,i d like you to drive .,j aimerais que tu conduises . <end>,je voudrais que ce soit toi qui conduises .,7,0.05795053470733952
24,24,i have a plan .,j ai un plan . <end>,je dispose d un plan .,5,0.21771262023986562
25,25,"pass the sugar , please .","ferme la tete , voulez vous ! <end>",passe moi le sucre s il te plait .,6,0.0
26,26,where were all of you ?,ou etiez vous toutes ? <end>,ou etiez vous tous ?,6,0.28574404296988
27,27,he s good .,il est bon . <end>,il est bon .,4,1.0
28,28,i really love my work .,j aime vraiment mon travail . <end>,j adore vraiment mon travail .,6,0.537284965911771
