,id,src,result,reference_str,sentence_length,BLEUscore
0,0,tom is not here .,tom n est pas ici . <end>,tom n est pas ici .,5,1.0
1,1,it s an old picture .,c est un vieux tableau . <end>,c est une vieille image .,6,0.09554427922043669
2,2,this is your fate .,c est votre destinee . <end>,c est votre sort .,5,0.28574404296988
3,3,let s have sushi .,prenons des sushi . <end>,prenons des sushi .,5,1.0
4,4,where did you go ?,ou etes vous alles ? <end>,ou es tu alle ?,5,0.06389431042462725
5,5,how s your morning been ?,comment ta matinee s est elle passee ? <end>,comment votre matinee s est elle passee ?,6,0.7071067811865475
6,6,he arrived at midnight .,il est arrive a six heures . <end>,il est arrive a minuit .,5,0.4347208719449914
7,7,she kicked him .,elle lui jeta un coup de pied . <end>,elle lui donna un coup de pied .,4,0.5946035575013605
8,8,i want to go to boston .,je veux aller a boston . <end>,je veux aller a boston .,7,1.0
9,9,i spilled the milk .,j ai renverse le lait . <end>,j ai renverse le lait .,5,1.0
10,10,i am looking at that .,je suis au courant . <end>,je regarde ca .,6,0.06389431042462725
11,11,she suddenly kissed me .,elle m a soudainement embrasse . <end>,elle m a soudainement embrassee .,5,0.537284965911771
12,12,he kept his word .,il a tenu parole . <end>,il tint parole .,5,0.12574334296829354
13,13,i told him what to do .,je lui ai dit quoi faire . <end>,je lui ai dit quoi faire .,7,1.0
14,14,come and get it .,venez la chercher . <end>,viens la chercher .,5,0.3976353643835253
15,15,how absurd !,quelle absurdite ! <end>,quelle absurdite !,3,0.5623413251903491
16,16,i want a closer look .,je veux plus de singapour . <end>,je veux regarder de plus pres .,6,0.09189343000084486
17,17,watch out for that man .,fais attention a cet homme la . <end>,guette cet homme la .,6,0.41113361690051975
18,18,everyone changes .,tout le monde change . <end>,tout le monde change .,3,1.0
19,19,let s eat out tonight .,allons voir ce soir . <end>,"ce soir , mangeons dehors .",6,0.10294994188297393
20,20,keep driving .,avance ! <end>,roulez !,3,0.1495348781221221
21,21,i should go .,je devrais y aller . <end>,je devrais partir .,4,0.12574334296829354
22,22,they re downstairs .,ils sont en dessous . <end>,ils sont en bas .,4,0.28574404296988
23,23,i d like you to drive .,j aimerais que tu conduises . <end>,je voudrais que ce soit toi qui conduises .,7,0.05795053470733952
24,24,i have a plan .,j ai un plan . <end>,je dispose d un plan .,5,0.21771262023986562
25,25,"pass the sugar , please .","le cafe , s il vous plait . <end>",passe moi le sucre s il te plait .,6,0.07751502105431508
26,26,where were all of you ?,ou etiez vous toutes ? <end>,ou etiez vous tous ?,6,0.28574404296988
27,27,he s good .,il est bon . <end>,il est bon .,4,1.0
28,28,i really love my work .,j aime vraiment mon travail . <end>,j adore vraiment mon travail .,6,0.537284965911771
29,29,she s busy .,elle est occupee . <end>,elle est occupee .,4,1.0
30,30,you are stupid .,tu es idiots . <end>,tu es stupide .,4,0.1880301546543197
31,31,i think it s too risky .,je pense que c est trop risque . <end>,je pense que c est trop risque .,7,1.0
32,32,who phoned ?,qui a telephone ? <end>,qui est ce qui a telephone ?,3,0.4723665527410147
33,33,i m fine . how about you ?,"je vais bien , et toi ? <end>","je vais bien , et vous ?",8,0.6434588841607617
34,34,do you trust anyone ?,vous fiez vous a qui que ce soit ? <end>,te fies tu a quiconque ?,5,0.028517539529041507
35,35,he will join us later .,il nous va nous faire confiance plus tard . <end>,il nous rejoindra plus tard .,6,0.14923729480049117
36,36,the cat ate the mouse .,le chat mangea la souris . <end>,le chat a mange la souris .,6,0.21506254256566312
37,37,the moon is already out .,la lune est terminee . <end>,la lune est deja visible .,6,0.23394743548827707
38,38,i saw you .,je vous ai vu . <end>,je t ai vue .,4,0.07071067811865477
39,39,so what s your problem ?,donc quel est votre probleme ? <end>,alors quel est ton probleme ?,6,0.12209471671615688
40,40,i missed you last night .,tu m as manque la nuit derniere . <end>,tu m as manque la nuit derniere .,6,1.0
41,41,please be careful .,veuillez etre prudente . <end>,"s il vous plait , soyez prudent !",4,0.0
42,42,the holidays are coming .,les glace arrivent . <end>,les fetes se rapprochent .,5,0.07440995947486906
43,43,that was not necessary .,ce n etait pas necessaire . <end>,ce n etait pas necessaire .,5,1.0
44,44,i d like to rent a car .,"j aimerais louer une voiture , s il vous plait . <end>",j aimerais louer une voiture .,8,0.3672056269893592
45,45,i saw you cooking .,je vous ai vus cuisiner . <end>,je vous ai vu cuisiner .,5,0.25406637407730737
46,46,can we go back home ?,pouvons nous rentrer a la maison ? <end>,on peut rentrer a la maison ?,6,0.6147881529512643
47,47,someone came .,quelqu un est arrive . <end>,quelqu un est venu .,3,0.28574404296988
48,48,how can it be done ?,comment peut il etre fait ca ? <end>,de quelle maniere peut on le faire ?,6,0.034052233956373766
49,49,i ve done everything .,j ai tout fait . <end>,j ai tout fait .,5,1.0
50,50,they basked in the sun .,ils ont pris un bain de soleil . <end>,ils se sont dores au soleil .,6,0.06500593260343691
51,51,you look nervous .,tu as l air nerveuse . <end>,vous avez l air nerveuse .,4,0.5081327481546147
52,52,it s instinct .,c est clair . <end>,c est l instinct .,4,0.14643803168582153
53,53,tom is mowing the lawn .,tom tond la pelouse . <end>,tom est en train de tondre la pelouse .,6,0.12839307483032303
54,54,they all looked happy .,ils avaient l air tous contents . <end>,ils avaient l air tous satisfaits .,5,0.6434588841607617
55,55,are you ready ?,etes vous prete ? <end>,es tu pret ?,4,0.08034284189446518
56,56,i like the way you sing .,j aime votre maniere de vous . <end>,j aime ta maniere de chanter .,7,0.10445522730720382
